,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,end_latlng,external_id
207,3638031541,Afternoon Run,2020-06-19T13:06:54Z,Run,4120.7,1342,1348,50.9,"[52.464025, -2.143639]",4de690be-d689-47e2-9c7a-2a688bfe25cb-activity.fit
208,3630267353,Evening Walk,2020-06-17T18:10:50Z,Walk,5685.6,4544,4774,102.5,"[52.463965, -2.143662]",cbd0b5d4-c2ea-4a01-bee1-beb59d32c027-activity.fit
209,3627142734,Morning Run,2020-06-17T05:59:49Z,Run,4790.9,1685,1697,30.2,"[52.461384, -2.14896]",c2077af4-59bc-4b03-ac8d-e1d71508920c-activity.fit
210,3617766663,Cool down walk,2020-06-15T11:24:39Z,Walk,2710.5,2017,2049,41.8,"[52.463917, -2.143451]",2e3a176b-6c85-49f1-b61b-7c8596168c66-activity.fit
211,3617632476,Interval session with Daniel on bike,2020-06-15T10:43:40Z,Run,3517.1,1888,2067,47.9,"[52.464025, -2.143592]",af206f1b-ef52-4345-b386-d9b4fdf6a2c6-activity.fit
212,3615706507,Trying out the new bike,2020-06-14T19:03:13Z,Ride,17590.8,4183,6300,154.6,"[52.463974, -2.143797]",38b6ab97-a060-4b49-9dfa-0cd4bbda08e4-activity.fit
213,3615162456,To Mum and Dad's,2020-06-14T18:14:18Z,Ride,5673.9,1402,2359,59.2,"[52.463988, -2.143716]",29b2b809-3aad-4102-b60c-f2a75607cf7a-activity.fit
214,3608293354,Run/walk with Daniel on bike,2020-06-13T15:10:34Z,Run,3783.7,1654,2288,36.0,"[52.464076, -2.143571]",979e5d3b-629b-40c9-a6a8-02a133deb7bd-activity.fit
215,3602879003,Afternoon Walk,2020-06-12T14:25:27Z,Walk,4249.3,3013,3029,51.1,"[52.464057, -2.143719]",f3012c84-9762-40d9-bc4d-945a7ee2397b-activity.fit
216,3599632861,Evening Walk,2020-06-11T19:17:41Z,Walk,5196.1,3829,4019,104.8,"[52.464082, -2.143495]",548b3b88-65ee-4b1a-852b-57125179024b-activity.fit
217,3593642638,Out and back to Cookley by canal,2020-06-10T14:44:30Z,Ride,23107.9,5011,9285,3.5,"[52.463985, -2.143769]",83f1736a-9686-4ea8-9af6-78e225477009-activity.fit
218,3586003870,Steady canal out and back,2020-06-09T05:57:20Z,Run,6324.0,2152,2157,0.0,"[52.463047, -2.15583]",fb73bca3-052b-45fd-8fd6-c3ca885d5760-activity.fit
219,3581163030,Morning Ride,2020-06-08T05:29:52Z,Ride,12014.7,3277,3722,32.4,"[52.464051, -2.143631]",9f22f2ae-e547-44fc-9d73-13d78d10531c-activity.fit
220,3579493598,Evening Walk,2020-06-07T18:06:38Z,Walk,5176.0,3819,3859,93.7,"[52.463991, -2.143681]",725caad6-a4cc-4de8-a8ab-142b60fd18e3-activity.fit
